Borough,Neighbourhood,Postal Code,Latitude,Longitude
Scarborough,"Malvern, Rouge",,,
Scarborough,"Highland Creek, Port Union, Rouge Hill",,,
Scarborough,"Guildwood, Morningside, West Hill",,,
Scarborough,Woburn,,,
Scarborough,Cedarbrae,,,
Scarborough,Scarborough Village,,,
Scarborough,"East Birchmount Park, Ionview, Kennedy Park",,,
Scarborough,"Clairlea, Golden Mile, Oakridge",,,
Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",,,
Scarborough,"Birch Cliff, Cliffside West",,,
Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",,,
Scarborough,"Maryvale, Wexford",,,
Scarborough,Agincourt,,,
Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",,,
Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",,,
Scarborough,L'Amoreaux West,,,
Scarborough,Upper Rouge,,,
North York,Hillcrest Village,,,
North York,"Fairview, Henry Farm, Oriole",,,
North York,Bayview Village,,,
North York,"Silver Hills, York Mills",,,
North York,"Newtonbrook, Willowdale",,,
North York,Willowdale South,,,
North York,York Mills West,,,
North York,Willowdale West,,,
North York,Parkwoods,,,
North York,Don Mills North,,,
North York,"Don Mills South, Flemingdon Park",,,
North York,"Bathurst Manor, Downsview North, Wilson Heights",,,
North York,"Northwood Park, York University",,,
North York,"CFB Toronto, Downsview East",,,
North York,Downsview West,,,
North York,Downsview Central,,,
North York,Downsview Northwest,,,
North York,Victoria Village,,,
East York,"Parkview Hill, Woodbine Gardens",,,
East York,Woodbine Heights,,,
East Toronto,The Beaches,,,
East York,Leaside,,,
East York,Thorncliffe Park,,,
East York,East Toronto,,,
East Toronto,"Riverdale, The Danforth West",,,
East Toronto,"India Bazaar, The Beaches West",,,
East Toronto,Studio District,,,
Central Toronto,Lawrence Park,,,
Central Toronto,Davisville North,,,
Central Toronto,North Toronto West,,,
Central Toronto,Davisville,,,
Central Toronto,"Moore Park, Summerhill East",,,
Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",,,
Downtown Toronto,Rosedale,,,
Downtown Toronto,"Cabbagetown, St. James Town",,,
Downtown Toronto,Church and Wellesley,,,
Downtown Toronto,"Harbourfront, Regent Park",,,
Downtown Toronto,"Garden District, Ryerson",,,
Downtown Toronto,St. James Town,,,
Downtown Toronto,Berczy Park,,,
Downtown Toronto,Central Bay Street,,,
Downtown Toronto,"Adelaide, King, Richmond",,,
Downtown Toronto,"Harbourfront East, Toronto Islands, Union Station",,,
Downtown Toronto,"Design Exchange, Toronto Dominion Centre",,,
Downtown Toronto,"Commerce Court, Victoria Hotel",,,
North York,"Bedford Park, Lawrence Manor East",,,
Central Toronto,Roselawn,,,
Central Toronto,"Forest Hill North, Forest Hill West",,,
Central Toronto,"North Midtown, The Annex, Yorkville",,,
Downtown Toronto,"Harbord, University of Toronto",,,
Downtown Toronto,"Chinatown, Grange Park, Kensington Market",,,
Downtown Toronto,"Bathurst Quay, CN Tower, Harbourfront West, Island airport, King and Spadina, Railway Lands, South Niagara",,,
Downtown Toronto,Stn A PO Boxes 25 The Esplanade,,,
Downtown Toronto,"First Canadian Place, Underground city",,,
North York,"Lawrence Heights, Lawrence Manor",,,
North York,Glencairn,,,
York,Humewood-Cedarvale,,,
York,Caledonia-Fairbanks,,,
Downtown Toronto,Christie,,,
West Toronto,"Dovercourt Village, Dufferin",,,
West Toronto,"Little Portugal, Trinity",,,
West Toronto,"Brockton, Exhibition Place, Parkdale Village",,,
North York,"Downsview, North Park, Upwood Park",,,
York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn",,,
York,"Runnymede, The Junction North",,,
West Toronto,"High Park, The Junction South",,,
West Toronto,"Parkdale, Roncesvalles",,,
West Toronto,"Runnymede, Swansea",,,
Queen's Park,Queen's Park,,,
Mississauga,Canada Post Gateway Processing Centre,,,
East Toronto,Business Reply Mail Processing Centre 969 Eastern,,,
Etobicoke,"Humber Bay Shores, Mimico South, New Toronto",,,
Etobicoke,"Alderwood, Long Branch",,,
Etobicoke,"Montgomery Road, Old Mill North, The Kingsway",,,
Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, Royal York South East, Sunnylea, The Queensway East",,,
Etobicoke,"Kingsway Park South West, Mimico NW, Royal York South West, South of Bloor, The Queensway West",,,
Etobicoke,Islington Avenue,,,
Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",,,
Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",,,
North York,Humber Summit,,,
North York,"Emery, Humberlea",,,
York,Weston,,,
Etobicoke,Westmount,,,
Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",,,
Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown",,,
Etobicoke,Northwest,,,
